Time,47959.obc_uptime_total
2023-03-01 12:37:26,60463487
2023-03-01 12:37:26,60463487
2023-03-01 12:37:26,60463487
2023-03-01 12:37:26,60463487
2023-03-01 14:09:52,60469031
2023-03-01 14:12:48,60469207
2023-03-01 14:15:44,60469383
2023-03-01 14:17:12,60469471
2023-03-01 16:11:39,60476335
2023-03-01 16:13:07,60476423
2023-03-01 16:14:35,60476511
2023-03-01 16:16:03,60476599
2023-03-01 17:48:29,60482143
2023-03-01 17:49:57,60482231
2023-03-01 18:55:58,60486191
2023-03-02 00:02:36,60504583
2023-03-02 00:03:55,60504671
2023-03-02 00:03:57,60504671
2023-03-02 00:04:04,60504671
2023-03-02 00:04:04,60504671
2023-03-02 00:05:23,60504759
2023-03-02 00:05:32,60504759
2023-03-02 00:05:32,60504759
2023-03-02 00:06:51,60504847
2023-03-02 00:07:00,60504847
2023-03-02 00:07:00,60504847
2023-03-02 00:08:19,60504935
2023-03-02 00:08:20,60504935
2023-03-02 00:08:28,60504935
2023-03-02 00:08:28,60504935
2023-03-02 00:09:47,60505023
2023-03-02 00:09:56,60505023
2023-03-02 00:11:15,60505111
2023-03-02 00:11:24,60505111
2023-03-02 01:37:49,60510303
2023-03-02 01:37:50,60510303
2023-03-02 01:37:57,60510303
2023-03-02 01:37:57,60510303
2023-03-02 01:37:57,60510303
2023-03-02 01:39:17,60510391
2023-03-02 01:39:19,60510391
2023-03-02 01:39:25,60510391
2023-03-02 01:39:25,60510391
2023-03-02 01:39:25,60510391
2023-03-02 01:39:25,60510391
2023-03-02 01:39:25,60510391
2023-03-02 01:39:25,60510391
2023-03-02 01:40:44,60510479
2023-03-02 01:40:45,60510479
2023-03-02 01:40:46,60510479
2023-03-02 01:40:53,60510479
2023-03-02 01:40:53,60510479
2023-03-02 01:40:53,60510479
2023-03-02 01:42:13,60510567
2023-03-02 01:42:14,60510567
2023-03-02 01:42:19,60510567
2023-03-02 01:42:19,60510567
2023-03-02 01:42:21,60510567
2023-03-02 01:42:21,60510567
2023-03-02 01:42:22,60510567
2023-03-02 01:42:22,60510567
2023-03-02 01:42:22,60510567
2023-03-02 01:42:22,60510567
2023-03-02 01:42:22,60510567
2023-03-02 01:42:22,60510567
2023-03-02 01:42:22,60510567
2023-03-02 01:42:22,60510567
2023-03-02 01:43:49,60510655
2023-03-02 01:43:49,60510655
2023-03-02 01:43:49,60510655
2023-03-02 01:43:50,60510655
2023-03-02 01:45:17,60510743
2023-03-02 01:45:17,60510743
2023-03-02 01:46:37,60510831
2023-03-02 01:46:45,60510831
2023-03-02 02:52:47,60514791
2023-03-02 03:11:51,60515935
2023-03-02 03:13:19,60516023
2023-03-02 03:13:19,60516023
2023-03-02 03:14:47,60516111
2023-03-02 03:14:47,60516111
2023-03-02 03:14:47,60516111
2023-03-02 03:16:15,60516199
2023-03-02 03:16:15,60516199
2023-03-02 03:16:15,60516199
2023-03-02 03:17:44,60516287
2023-03-02 03:17:44,60516287
2023-03-02 03:17:44,60516287
2023-03-02 03:19:12,60516375
2023-03-02 03:19:12,60516375
2023-03-02 04:23:45,60520247
2023-03-02 04:28:09,60520511
2023-03-02 04:29:36,60520599
2023-03-02 04:31:04,60520687
2023-03-02 04:48:42,60521743
2023-03-02 04:50:10,60521831
2023-03-02 04:51:38,60521919
2023-03-02 09:36:16,60538991
2023-03-02 09:37:44,60539079
2023-03-02 09:39:12,60539167
2023-03-02 09:40:40,60539255
2023-03-02 09:42:08,60539343
2023-03-02 09:43:36,60539431
2023-03-02 09:45:04,60539519
2023-03-02 10:51:06,60543479
2023-03-02 10:52:26,60543567
2023-03-02 10:52:34,60543567
2023-03-02 10:53:54,60543655
2023-03-02 10:53:54,60543655
2023-03-02 10:54:02,60543655
2023-03-02 10:54:02,60543655
2023-03-02 10:56:50,60543831
2023-03-02 10:56:58,60543831
2023-03-02 10:56:58,60543831
2023-03-02 12:25:00,60549111
2023-03-02 12:26:20,60549199
2023-03-02 12:26:20,60549199
2023-03-02 12:26:28,60549199
2023-03-02 12:26:28,60549199
2023-03-02 16:02:09,60562135
2023-03-02 16:08:01,60562487
2023-03-02 16:21:13,60563279
2023-03-02 16:22:41,60563367
2023-03-02 16:24:09,60563455
2023-03-02 20:20:22,60577623
2023-03-02 20:21:51,60577711
2023-03-02 20:23:19,60577799
2023-03-02 20:24:47,60577887
2023-03-02 20:26:15,60577975
2023-03-02 21:57:13,60583431
2023-03-02 21:58:41,60583519
