Time,"53385.offset, kB"
2023-03-31 11:51:08,15.516
2023-03-31 11:51:08,11.54
2023-03-31 11:51:08,18.484
2023-03-31 11:51:08,18.148
2023-03-31 11:51:09,19.268
2023-03-31 11:51:09,18.988
2023-03-31 11:51:09,11.764
2023-03-31 11:51:09,16.188
2023-03-31 11:51:10,13.052
2023-03-31 11:51:10,17.084
2023-03-31 11:51:10,19.884
2023-03-31 11:51:10,19.94
2023-03-31 11:51:11,20.668
2023-03-31 11:51:11,17.868
2023-03-31 11:51:11,13.948
2023-03-31 11:51:12,18.596
2023-03-31 11:51:12,14.396
2023-03-31 11:51:13,19.492
2023-03-31 11:51:13,15.572
2023-03-31 11:51:14,20.164
2023-03-31 11:51:15,16.636
2023-03-31 11:51:15,20.948
2023-03-31 11:51:16,17.252
2023-03-31 11:51:17,18.036
2023-03-31 11:51:18,18.764
2023-03-31 11:51:19,19.604
2023-03-31 11:51:20,20.388
2023-03-31 13:21:28,0.172
2023-03-31 13:21:44,0.172
2023-03-31 13:21:50,0.172
2023-03-31 13:21:50,0.172
2023-03-31 13:21:50,0.172
2023-03-31 13:21:54,3.7
2023-03-31 13:21:55,3.7
2023-03-31 13:21:55,4.204
2023-03-31 13:21:57,0.172
2023-03-31 13:21:58,3.7
2023-03-31 13:21:59,4.204
2023-03-31 13:22:00,3.7
2023-03-31 13:22:01,4.204
2023-03-31 13:22:33,34.332
2023-03-31 13:22:34,34.332
2023-03-31 13:23:00,34.332
2023-03-31 13:23:07,34.332
2023-04-01 00:36:45,0.172
2023-04-01 00:36:48,0.172
2023-04-01 00:36:55,5.772
2023-04-01 00:36:59,9.02
2023-04-01 00:37:14,20.892
2023-04-01 02:07:45,0.172
2023-04-01 02:07:52,5.772
2023-04-01 02:07:56,9.02
2023-04-01 02:08:11,20.892
2023-04-01 11:18:48,0.172
2023-04-01 11:18:53,7.004
2023-04-01 11:18:55,8.236
2023-04-01 11:18:58,8.236
2023-04-01 12:48:40,5.044
2023-04-01 12:48:41,3.14
2023-04-01 12:48:41,5.38
2023-04-01 12:48:42,3.98
2023-04-01 12:48:42,6.276
2023-04-01 12:48:43,4.26
2023-04-01 12:48:43,6.948
2023-04-01 12:48:44,5.044
2023-04-01 12:48:44,7.956
2023-04-01 12:48:45,5.716
2023-04-01 12:48:45,8.572
2023-04-01 12:48:46,6.668
2023-04-01 12:48:46,9.244
2023-04-01 12:48:47,0.004
2023-04-01 12:48:47,7.396
2023-04-01 12:48:47,10.028
2023-04-01 12:48:48,0.564
2023-04-01 12:48:48,8.124
2023-04-01 12:48:48,11.204
2023-04-01 12:48:48,18.596
2023-04-01 12:48:49,11.82
2023-04-01 12:48:49,1.74
2023-04-01 12:48:49,8.964
2023-04-01 12:48:50,12.604
2023-04-01 12:48:50,2.188
2023-04-01 12:48:51,13.22
2023-04-01 12:48:51,2.972
2023-04-01 12:48:52,13.892
2023-04-01 12:48:52,3.868
2023-04-01 12:48:53,14.844
2023-04-01 12:48:53,5.212
2023-04-01 12:48:54,15.684
2023-04-01 12:48:54,5.324
2023-04-01 12:48:55,16.356
2023-04-01 12:48:55,6.052
2023-04-01 12:48:56,17.196
2023-04-01 12:48:56,6.892
2023-04-01 12:48:57,17.924
2023-04-01 12:48:57,8.292
2023-04-01 12:48:58,18.652
2023-04-01 12:48:58,8.572
2023-04-01 12:48:59,19.38
2023-04-01 12:48:59,9.412
2023-04-01 12:49:00,20.332
2023-04-01 12:49:00,10.7
2023-04-01 12:49:01,11.036
2023-04-01 12:49:04,13.388
2023-04-01 12:49:06,17.588
2023-04-01 12:49:06,17.588
2023-04-01 12:49:08,18.876
2023-04-01 12:49:08,18.876
2023-04-01 12:49:09,19.94
2023-04-01 12:49:09,19.212
2023-04-01 12:49:10,18.54
2023-04-01 12:49:10,20.612
2023-04-01 12:49:10,20.052
2023-04-01 12:49:11,18.652
