Time,Cell Xp V
2023-11-16 03:00:00,2 m
2023-11-17 03:00:00,2.696 
2023-11-18 03:00:00,1 m
2023-11-19 03:00:00,2.697 
2023-11-20 03:00:00,1.802 
2023-11-21 03:00:00,52 m
2023-11-22 03:00:00,2.748 
2023-11-23 03:00:00,417 m
2023-11-24 03:00:00,2.746 
2023-11-25 03:00:00,2.756 
2023-11-26 03:00:00,146 m
2023-11-27 03:00:00,281 m
2023-11-28 03:00:00,481 m
2023-11-29 03:00:00,106 m
2023-11-30 03:00:00,80 m
2023-12-01 03:00:00,2.783 
2023-12-02 03:00:00,2.643 
2023-12-03 03:00:00,2.683 
2023-12-04 03:00:00,11 m
2023-12-05 03:00:00,0 m
2023-12-06 03:00:00,11 m
2023-12-07 03:00:00,495 m
2023-12-08 03:00:00,0 m
2023-12-09 03:00:00,1 m
2023-12-10 03:00:00,2.587 
2023-12-11 03:00:00,0 m
2023-12-12 03:00:00,492 m
2023-12-13 03:00:00,2.747 
2023-12-14 03:00:00,0 m
2023-12-15 03:00:00,0 m
2023-12-16 03:00:00,0 m
2023-12-17 03:00:00,2.775 
2023-12-18 03:00:00,2.830 
2023-12-19 03:00:00,2.930 
2023-12-20 03:00:00,12 m
2023-12-21 03:00:00,2.742 
2023-12-22 03:00:00,15 m
2023-12-23 03:00:00,558 m
2023-12-24 03:00:00,703 m
2023-12-25 03:00:00,523 m
2023-12-26 03:00:00,280 m
2023-12-27 03:00:00,2.658 
2023-12-28 03:00:00,230 m
2023-12-29 03:00:00,238 m
2023-12-30 03:00:00,40 m
2023-12-31 03:00:00,202 m
2024-01-01 03:00:00,156 m
2024-01-02 03:00:00,7 m
2024-01-03 03:00:00,2.873 
2024-01-04 03:00:00,491 m
2024-01-05 03:00:00,2.850 
